id,alert_type,severity,title,message,terminal_id,regional_hub,threshold,observed_value,is_acknowledged,created_at
1,CONGESTION,Critical,Congestion Alert — Hamburg Terminal,Terminal operating 6.5% above network average,2,EMEA,574.39,593.64,False,2026-04-03 00:39:59
2,CONGESTION,Warning,Congestion Alert — Antwerp Terminal,Terminal operating 3.2% above network average,3,EMEA,574.39,575.62,False,2026-03-28 00:39:59
3,CONGESTION,Critical,Congestion Alert — Algeciras Terminal,Terminal operating 5.5% above network average,5,EMEA,574.39,588.22,False,2026-03-21 00:39:59
4,CONGESTION,Warning,Congestion Alert — Piraeus Terminal,Terminal operating 3.9% above network average,6,EMEA,574.39,579.53,False,2026-03-29 00:39:59
5,CONGESTION,Warning,Congestion Alert — Ningbo Terminal,Terminal operating 3.3% above network average,17,APAC,574.39,576.02,False,2026-03-16 00:39:59
6,CONGESTION,Warning,Congestion Alert — Manila Terminal,Terminal operating 4.0% above network average,24,APAC,574.39,579.83,False,2026-03-30 00:39:59
7,CONGESTION,Warning,Congestion Alert — Miami Terminal,Terminal operating 3.8% above network average,31,AMER,574.39,578.83,False,2026-04-04 00:39:59
8,CONGESTION,Warning,Congestion Alert — Charleston Terminal,Terminal operating 4.5% above network average,33,AMER,574.39,582.61,False,2026-03-26 00:39:59
9,CONGESTION,Critical,Congestion Alert — Hamburg Terminal,Terminal operating 6.5% above network average,2,EMEA,574.39,593.64,False,2026-02-14 00:39:59
10,CONGESTION,Warning,Congestion Alert — Antwerp Terminal,Terminal operating 3.2% above network average,3,EMEA,574.39,575.62,False,2026-03-13 00:39:59
11,CONGESTION,Critical,Congestion Alert — Algeciras Terminal,Terminal operating 5.5% above network average,5,EMEA,574.39,588.22,False,2026-02-20 00:39:59
12,CONGESTION,Warning,Congestion Alert — Piraeus Terminal,Terminal operating 3.9% above network average,6,EMEA,574.39,579.53,False,2026-02-16 00:39:59
13,CONGESTION,Warning,Congestion Alert — Ningbo Terminal,Terminal operating 3.3% above network average,17,APAC,574.39,576.02,False,2026-03-14 00:39:59
14,CONGESTION,Warning,Congestion Alert — Manila Terminal,Terminal operating 4.0% above network average,24,APAC,574.39,579.83,False,2026-03-08 00:39:59
15,CONGESTION,Warning,Congestion Alert — Miami Terminal,Terminal operating 3.8% above network average,31,AMER,574.39,578.83,False,2026-03-09 00:39:59
16,CONGESTION,Warning,Congestion Alert — Charleston Terminal,Terminal operating 4.5% above network average,33,AMER,574.39,582.61,False,2026-03-01 00:39:59
17,CONGESTION,Critical,Congestion Alert — Hamburg Terminal,Terminal operating 6.5% above network average,2,EMEA,574.39,593.64,False,2026-01-22 00:39:59
18,CONGESTION,Warning,Congestion Alert — Antwerp Terminal,Terminal operating 3.2% above network average,3,EMEA,574.39,575.62,False,2026-01-16 00:39:59
19,CONGESTION,Critical,Congestion Alert — Algeciras Terminal,Terminal operating 5.5% above network average,5,EMEA,574.39,588.22,False,2026-02-01 00:39:59
20,CONGESTION,Warning,Congestion Alert — Piraeus Terminal,Terminal operating 3.9% above network average,6,EMEA,574.39,579.53,False,2026-02-02 00:39:59
21,CONGESTION,Warning,Congestion Alert — Ningbo Terminal,Terminal operating 3.3% above network average,17,APAC,574.39,576.02,False,2026-02-11 00:39:59
