movement_id,date_id,terminal_id,vessel_id,cargo_type,container_count,move_duration,shift,is_anomaly,anomaly_score
1,2020-01-01,42,32,Machinery,922,472.99,Day,0,0.133
2,2020-01-01,6,330,Electronics,358,523.96,Day,0,0.19
3,2020-01-01,36,333,Textiles,1186,493.39,Night,0,0.238
4,2020-01-01,8,565,Machinery,1024,593.89,Day,0,0.124
5,2020-01-01,30,409,Vehicles,294,489.06,Night,0,0.286
6,2020-01-01,44,486,Electronics,274,541.48,Day,0,0.029
7,2020-01-01,24,134,Textiles,1250,436.17,Day,0,0.262
8,2020-01-01,28,53,Textiles,739,467.15,Night,0,0.173
9,2020-01-01,14,159,Chemicals,321,449.31,Night,0,0.084
10,2020-01-02,28,575,Textiles,1447,592.16,Day,0,0.08
11,2020-01-02,12,280,Food,818,610.98,Night,0,0.12
12,2020-01-02,10,32,Vehicles,1186,507.88,Day,0,0.126
13,2020-01-02,22,162,Food,764,506.16,Night,0,0.016
14,2020-01-02,11,633,Vehicles,267,465.79,Day,0,0.199
15,2020-01-02,32,622,Machinery,659,544.25,Night,0,0.033
16,2020-01-02,44,608,Textiles,1466,587.14,Night,0,0.066
17,2020-01-03,4,8,Food,532,512.72,Day,0,0.036
18,2020-01-03,32,441,Chemicals,878,436.75,Day,0,0.069
19,2020-01-03,36,363,Machinery,186,451.02,Day,0,0.094
20,2020-01-03,28,588,Vehicles,1411,553.96,Night,0,0.035
21,2020-01-03,2,333,Raw Materials,1365,453.61,Day,0,0.131
22,2020-01-03,7,250,Textiles,920,527.83,Night,0,0.119
23,2020-01-03,20,348,Food,444,575.31,Day,0,0.058
24,2020-01-03,23,360,Chemicals,310,537.8,Day,0,0.059
25,2020-01-03,39,157,Chemicals,1386,421.87,Day,0,0.135
26,2020-01-03,37,331,Chemicals,1000,509.35,Night,0,0.133
27,2020-01-04,18,606,Food,1139,1491.01,Day,1,0.786
28,2020-01-04,42,93,Machinery,1288,514.49,Night,0,0.238
29,2020-01-04,3,461,Food,1339,491.18,Day,0,0.031
30,2020-01-04,22,87,Electronics,607,500.48,Day,0,0.297
31,2020-01-04,34,536,Food,863,582.2,Day,0,0.204
32,2020-01-04,4,343,Food,293,488.82,Day,0,0.116
33,2020-01-04,17,618,Food,266,499.2,Day,0,0.29
34,2020-01-04,45,402,Textiles,273,488.36,Day,0,0.113
35,2020-01-05,22,131,Vehicles,1473,463.82,Day,0,0.054
36,2020-01-05,14,350,Chemicals,563,527.22,Night,0,0.046
37,2020-01-05,19,104,Vehicles,789,553.42,Day,0,0.046
38,2020-01-05,12,170,Electronics,941,451.59,Night,0,0.216
39,2020-01-05,29,626,Raw Materials,1019,536.6,Night,0,0.235
40,2020-01-05,13,377,Machinery,677,533.7,Night,0,0.151
41,2020-01-05,27,166,Raw Materials,1338,541.35,Day,0,0.262
42,2020-01-05,36,106,Food,271,521.49,Day,0,0.082
43,2020-01-05,33,151,Electronics,554,538.13,Night,0,0.124
44,2020-01-05,26,515,Chemicals,890,412.03,Night,0,0.112
45,2020-01-05,2,327,Raw Materials,1431,1726.74,Day,1,0.842
46,2020-01-05,9,481,Textiles,110,522.91,Night,0,0.006
47,2020-01-06,10,562,Electronics,690,525.48,Night,0,0.192
48,2020-01-06,40,469,Electronics,1123,534.04,Day,0,0.005
49,2020-01-06,33,589,Vehicles,394,529.67,Day,0,0.171
50,2020-01-06,12,88,Electronics,1177,499.42,Night,0,0.236
51,2020-01-06,33,568,Machinery,1062,588.74,Day,0,0.224
52,2020-01-06,23,70,Chemicals,1445,514.71,Night,0,0.231
53,2020-01-06,22,137,Food,1218,471.09,Day,0,0.205
54,2020-01-07,31,187,Electronics,1037,1317.52,Day,1,0.937
55,2020-01-07,3,324,Textiles,915,577.53,Night,0,0.226
56,2020-01-07,13,293,Raw Materials,197,500.8,Night,0,0.1
57,2020-01-07,8,377,Machinery,1000,542.14,Night,0,0.149
58,2020-01-07,32,377,Raw Materials,269,469.45,Night,0,0.024
59,2020-01-07,39,185,Food,310,544.27,Night,0,0.181
60,2020-01-07,28,171,Food,1015,1773.66,Night,1,0.806
61,2020-01-07,28,282,Electronics,1474,496.24,Day,0,0.204
62,2020-01-07,2,147,Electronics,358,455.4,Night,0,0.234
63,2020-01-07,24,371,Textiles,166,435.12,Night,0,0.112
64,2020-01-07,5,588,Textiles,851,485.47,Day,0,0.195
65,2020-01-08,8,27,Machinery,1160,456.55,Day,0,0.078
66,2020-01-08,29,220,Vehicles,1105,562.56,Night,0,0.041
67,2020-01-08,5,463,Vehicles,1011,607.8,Day,0,0.296
68,2020-01-08,43,356,Textiles,1210,510.93,Day,0,0.09
