vessel_id,vessel_name,vessel_category,vessel_age,efficiency_score
1,Ever Given 001,Container,24,0.742
2,MSC Gülsün 002,Container,43,0.707
3,HMM Algeciras 003,Container,44,0.859
4,OOCL Hong Kong 004,Container,39,0.854
5,Madrid Maersk 005,Container,35,0.892
6,CMA CGM Antoine 006,Container,11,0.785
7,Cosco Shipping 007,Container,18,0.996
8,Yang Ming 008,Container,41,0.875
9,Evergreen 009,Container,15,0.874
10,Hapag Lloyd 010,Container,54,0.907
11,Ever Given 011,Container,4,0.692
12,MSC Gülsün 012,Container,3,0.922
13,HMM Algeciras 013,Container,26,0.707
14,OOCL Hong Kong 014,Container,14,0.965
15,Madrid Maersk 015,Container,37,0.951
16,CMA CGM Antoine 016,Container,21,0.685
17,Cosco Shipping 017,Container,32,0.758
18,Yang Ming 018,Container,42,0.784
19,Evergreen 019,Container,17,0.656
20,Hapag Lloyd 020,Container,48,0.825
21,Ever Given 021,Container,17,0.899
22,MSC Gülsün 022,Container,28,0.959
23,HMM Algeciras 023,Container,26,0.745
24,OOCL Hong Kong 024,Container,9,0.804
25,Madrid Maersk 025,Container,6,0.902
26,CMA CGM Antoine 026,Container,8,0.661
27,Cosco Shipping 027,Container,11,0.917
28,Yang Ming 028,Container,28,0.839
29,Evergreen 029,Container,25,0.753
30,Hapag Lloyd 030,Container,30,0.812
31,Ever Given 031,Container,36,0.944
32,MSC Gülsün 032,Container,1,0.872
33,HMM Algeciras 033,Container,8,0.873
34,OOCL Hong Kong 034,Container,35,0.9
35,Madrid Maersk 035,Container,50,0.856
36,CMA CGM Antoine 036,Container,8,0.717
37,Cosco Shipping 037,Container,11,0.781
38,Yang Ming 038,Container,47,0.95
39,Evergreen 039,Container,17,0.989
40,Hapag Lloyd 040,Container,49,0.671
41,Ever Given 041,Container,7,0.948
42,MSC Gülsün 042,Container,20,0.937
43,HMM Algeciras 043,Container,33,0.844
44,OOCL Hong Kong 044,Container,10,0.75
45,Madrid Maersk 045,Container,11,0.816
46,CMA CGM Antoine 046,Container,50,0.969
47,Cosco Shipping 047,Container,1,0.84
48,Yang Ming 048,Container,32,0.608
49,Evergreen 049,Container,24,0.951
50,Hapag Lloyd 050,Container,54,0.923
51,Ever Given 051,Container,16,0.623
52,MSC Gülsün 052,Container,37,0.979
53,HMM Algeciras 053,Container,6,0.893
54,OOCL Hong Kong 054,Container,53,0.628
55,Madrid Maersk 055,Container,49,0.813
56,CMA CGM Antoine 056,Container,9,0.651
57,Cosco Shipping 057,Container,31,0.979
58,Yang Ming 058,Container,11,0.706
59,Evergreen 059,Container,39,0.769
60,Hapag Lloyd 060,Container,14,0.972
61,Ever Given 061,Container,49,0.892
62,MSC Gülsün 062,Container,13,0.885
63,HMM Algeciras 063,Container,26,0.998
64,OOCL Hong Kong 064,Container,42,0.749
65,Madrid Maersk 065,Container,34,0.781
66,CMA CGM Antoine 066,Container,16,0.69
67,Cosco Shipping 067,Container,22,0.608
68,Yang Ming 068,Container,36,0.692
69,Evergreen 069,Container,15,0.603
70,Hapag Lloyd 070,Container,46,0.852
71,Ever Given 071,Container,15,0.627
72,MSC Gülsün 072,Container,3,0.944
73,HMM Algeciras 073,Container,5,0.806
74,OOCL Hong Kong 074,Container,18,0.868
75,Madrid Maersk 075,Container,14,0.816
76,CMA CGM Antoine 076,Container,47,0.974
77,Cosco Shipping 077,Container,37,0.83
78,Yang Ming 078,Container,16,0.914
79,Evergreen 079,Container,52,0.763
80,Hapag Lloyd 080,Container,7,0.639
81,Ever Given 081,Container,28,0.742
82,MSC Gülsün 082,Container,27,0.787
83,HMM Algeciras 083,Container,47,0.622
84,OOCL Hong Kong 084,Container,42,0.994
85,Madrid Maersk 085,Container,7,0.624
86,CMA CGM Antoine 086,Container,47,0.736
87,Cosco Shipping 087,Container,7,0.699
88,Yang Ming 088,Container,13,0.815
89,Evergreen 089,Container,9,0.769
90,Hapag Lloyd 090,Container,18,0.785
91,Ever Given 091,Container,5,0.777
92,MSC Gülsün 092,Container,55,0.82
93,HMM Algeciras 093,Container,4,0.861
94,OOCL Hong Kong 094,Container,35,0.934
95,Madrid Maersk 095,Container,6,0.971
96,CMA CGM Antoine 096,Container,55,0.695
97,Cosco Shipping 097,Container,27,0.794
98,Yang Ming 098,Container,14,0.946
99,Evergreen 099,Container,4,0.666
100,Hapag Lloyd 100,Container,1,0.994
101,Ever Given 101,Container,17,0.971
102,MSC Gülsün 102,Container,51,0.782
103,HMM Algeciras 103,Container,28,0.879
104,OOCL Hong Kong 104,Container,47,0.998
105,Madrid Maersk 105,Container,36,0.865
106,CMA CGM Antoine 106,Container,32,0.662
107,Cosco Shipping 107,Container,19,0.687
108,Yang Ming 108,Container,4,0.832
109,Evergreen 109,Container,35,0.624
110,Hapag Lloyd 110,Container,21,0.623
111,Ever Given 111,Container,38,0.791
112,MSC Gülsün 112,Container,55,0.812
113,HMM Algeciras 113,Container,4,0.984
114,OOCL Hong Kong 114,Container,6,0.941
115,Madrid Maersk 115,Container,5,0.838
116,CMA CGM Antoine 116,Container,44,0.945
117,Cosco Shipping 117,Container,26,0.648
118,Yang Ming 118,Container,37,0.698
119,Evergreen 119,Container,39,0.616
120,Hapag Lloyd 120,Container,6,0.768
121,Ever Given 121,Container,38,0.826
122,MSC Gülsün 122,Container,21,0.974
123,HMM Algeciras 123,Container,14,0.868
124,OOCL Hong Kong 124,Container,21,0.695
125,Madrid Maersk 125,Container,26,0.652
126,CMA CGM Antoine 126,Container,42,0.72
127,Cosco Shipping 127,Container,21,0.972
128,Yang Ming 128,Container,5,0.604
129,Evergreen 129,Container,40,0.999
130,Hapag Lloyd 130,Container,7,0.629
131,Ever Given 131,Container,14,0.802
132,MSC Gülsün 132,Container,9,0.973
133,HMM Algeciras 133,Container,5,0.952
134,OOCL Hong Kong 134,Container,24,0.714
135,Madrid Maersk 135,Container,29,0.933
136,CMA CGM Antoine 136,Container,46,0.721
137,Cosco Shipping 137,Container,52,0.862
138,Yang Ming 138,Container,1,0.867
139,Evergreen 139,Container,36,0.72
140,Hapag Lloyd 140,Container,43,0.641
141,Ever Given 141,Container,9,0.706
142,MSC Gülsün 142,Container,7,0.897
143,HMM Algeciras 143,Container,10,0.709
144,OOCL Hong Kong 144,Container,39,0.684
145,Madrid Maersk 145,Container,22,0.681
146,CMA CGM Antoine 146,Container,41,0.941
147,Cosco Shipping 147,Container,33,0.795
148,Yang Ming 148,Container,55,0.62
149,Evergreen 149,Container,41,0.769
150,Hapag Lloyd 150,Container,18,0.618
151,Ever Given 151,Container,22,0.908
152,MSC Gülsün 152,Container,41,0.992
153,HMM Algeciras 153,Container,11,0.896
154,OOCL Hong Kong 154,Container,36,0.882
155,Madrid Maersk 155,Container,36,0.604
156,CMA CGM Antoine 156,Container,5,0.978
157,Cosco Shipping 157,Container,45,0.962
